make,model,version,price,fuel,year,kms,shift,is_professional,dealer,province,publish_date,insert_date
26,141,1259,157,1,27,1865,2,1,2824,25,3534,30
5,474,408,50,1,21,1834,2,0,290,40,2982,31
15,36,769,208,5,37,1100,2,1,2244,25,1479,14
38,83,1897,178,1,29,1583,2,0,145,7,1531,0
33,152,1523,388,1,28,1294,1,1,1217,29,846,7
38,582,2076,23,1,22,2089,2,0,1341,27,1749,49
39,21,2172,788,5,40,0,2,1,2534,45,3223,38
54,400,3244,197,1,30,1545,2,0,1768,44,808,4
38,302,2037,267,1,35,1465,2,0,104,45,3168,31
16,247,911,11,5,21,1937,2,0,773,7,521,17
33,167,1457,169,0,20,1808,1,0,526,2,2243,30
41,370,2535,254,1,32,1693,2,1,1140,40,1448,11
8,92,523,356,1,34,1509,2,0,547,37,972,45
33,164,1635,1130,5,37,1433,1,1,874,26,1108,2
8,92,516,12,1,21,1928,2,0,90,40,4632,55
8,112,634,405,1,36,987,2,1,2787,30,4154,39
45,84,2670,671,5,39,461,2,1,2670,30,1575,5
41,316,2488,370,1,38,693,2,1,2428,29,2682,53
8,112,624,158,5,29,1582,2,1,1189,29,3969,46
33,150,1484,934,1,40,0,1,1,2872,2,1674,19
38,290,2015,984,7,40,3,1,1,2114,5,1929,20
45,202,2683,42,5,25,1864,2,0,1699,46,3220,25
55,108,3379,148,1,27,1723,2,0,433,7,831,4
16,447,1047,856,1,39,722,1,1,2119,29,4215,43
41,370,2579,107,5,27,1690,2,0,1780,23,1173,20
5,472,365,174,1,26,1808,1,1,1218,7,3993,47
5,557,437,862,1,39,337,2,1,2148,2,2546,14
41,316,2491,317,1,35,1203,2,1,1055,8,2278,26
37,417,1857,721,5,40,172,2,1,2515,44,2356,11
29,436,1372,945,1,34,1304,1,0,1403,26,969,44
35,195,1727,698,1,38,726,2,1,1143,38,3841,52
16,230,883,705,1,36,1414,2,1,994,24,3511,44
54,138,3063,925,1,37,330,2,1,2086,40,2711,24
37,73,1780,23,1,22,1837,2,0,461,30,2338,11
54,272,3110,567,1,38,1424,1,1,1972,31,4248,43
33,162,1629,1012,1,36,903,1,0,1318,29,791,50
5,557,437,818,1,37,712,1,1,1136,44,3433,32
41,370,2534,187,5,29,1490,2,1,1511,29,2383,35
33,170,1664,1051,5,33,1027,1,1,2703,7,1095,10
54,366,3187,296,1,23,2039,2,0,738,7,772,9
38,83,1938,729,5,35,794,2,1,2259,7,4892,60
3,54,50,296,1,32,1555,2,1,2082,44,1740,9
18,149,1089,148,1,25,1269,2,0,153,31,2000,9
41,246,2444,210,1,32,1532,2,0,348,22,1986,24
55,564,3426,699,1,36,1397,2,1,2154,38,1811,5
45,299,2692,23,1,19,1623,2,0,1317,48,460,10
16,229,877,615,5,40,82,2,1,2103,1,3349,25
16,229,876,546,5,38,320,2,1,2473,32,3270,36
54,272,3034,121,1,27,1956,2,0,456,1,1156,18
39,391,2318,100,1,25,1784,2,0,1868,31,769,13
5,472,358,552,1,36,1124,1,0,51,21,1048,57
35,342,1732,244,5,27,1852,2,0,469,38,1273,6
16,243,895,337,5,38,362,2,1,2100,30,4666,55
41,280,2447,124,1,25,1612,2,0,1328,27,1971,29
5,470,340,701,1,37,1009,2,1,2422,15,1375,5
5,468,321,779,1,40,147,2,1,885,13,3143,23
54,400,3244,25,5,22,1884,2,0,123,38,3258,24
13,210,752,464,1,36,1283,2,1,2130,7,3678,29
54,392,3202,152,1,28,1985,2,0,529,43,787,47
8,309,700,589,1,39,538,2,1,2529,6,4813,60
5,562,475,730,1,30,1949,1,1,2031,3,3772,61
46,241,2809,277,5,36,469,2,1,1023,38,1975,11
41,175,2412,40,5,25,991,2,0,208,7,4144,46
5,469,337,781,5,38,616,2,1,1972,31,748,27
41,282,2452,152,1,29,885,2,0,326,27,2146,14
16,247,917,583,5,39,442,2,1,1994,48,739,0
29,436,1374,1038,1,36,1052,1,1,2268,32,2226,52
16,247,915,652,5,40,152,2,1,898,29,2774,43
55,600,3382,879,0,33,2095,0,1,1724,44,3266,30
5,181,316,39,5,21,1852,2,0,736,7,2562,16
33,151,1498,170,5,26,1708,1,0,440,31,983,1
55,564,3433,610,1,35,1259,2,1,2154,38,4022,37
54,400,3271,791,5,39,617,1,0,1643,7,2810,56
8,575,713,58,1,25,1820,2,0,469,31,2269,40
36,178,1755,54,1,26,1620,2,0,1928,9,711,35
45,299,2703,429,5,39,583,2,1,1503,15,4861,57
33,152,1542,838,1,37,1452,1,1,2554,38,2541,18
37,303,1794,629,5,36,565,2,1,2176,29,1550,0
41,370,2530,65,1,24,1760,2,1,931,29,4197,49
30,261,1384,421,0,28,1772,1,0,696,2,4727,56
16,102,863,239,5,33,1269,2,0,1432,29,1365,13
16,247,912,191,1,28,1682,2,0,497,0,16,2
33,152,1520,228,1,30,1999,2,1,1978,38,1870,10
29,435,1352,1064,6,40,9,1,1,2256,7,3469,27
41,370,2563,274,1,35,1507,2,1,2750,37,340,22
5,474,314,278,1,28,1943,2,0,37,7,3952,62
4,185,312,962,5,25,1600,1,1,2175,2,2110,14
41,370,2571,487,1,36,1014,2,1,1963,29,2630,33
16,526,1066,315,1,36,976,2,1,727,10,2076,34
39,14,2171,487,5,40,0,2,1,2534,45,2891,18
16,247,912,86,1,26,1905,2,0,99,38,1904,39
33,152,1531,673,1,37,1595,1,1,1148,38,2187,40
39,28,2219,433,1,37,1388,2,1,2251,35,3001,27
5,181,315,53,1,24,2091,2,0,77,0,2715,19
5,561,469,1026,1,37,1374,1,1,1734,29,536,20
3,413,267,647,1,33,1476,1,1,2378,25,3417,29
45,299,2692,261,1,33,1717,2,0,1344,43,365,17
39,31,2250,81,1,26,1671,2,0,118,38,589,21
45,84,2676,781,1,39,277,2,1,1600,28,1977,9
3,56,104,583,1,36,1361,2,1,1245,35,1160,7
54,392,3200,110,1,28,2008,2,0,292,29,2964,20
38,289,2007,716,5,39,101,2,1,2614,38,1459,21
45,235,2686,177,1,29,1760,2,0,230,31,919,31
16,311,979,19,5,18,909,2,0,405,35,800,35
3,57,127,325,1,32,1819,2,1,1704,31,4463,47
43,47,2628,52,1,22,1712,2,0,469,16,2327,15
3,57,159,424,1,32,1936,2,1,1120,0,1484,14
45,71,2644,26,1,19,2092,2,0,609,48,3275,54
5,472,349,261,5,29,1844,1,0,1316,7,3135,45
33,152,1533,490,1,32,1796,1,1,1088,4,1846,18
26,585,1315,312,1,36,998,2,0,224,20,1893,14
54,272,3099,487,5,38,410,2,1,1246,41,3171,48
8,109,587,67,1,29,1935,2,1,1515,9,353,0
33,493,1694,485,1,33,1795,2,1,2846,29,1342,23
40,143,2359,1144,7,40,1052,1,1,2623,31,1781,10
14,133,764,1141,5,32,985,1,1,2280,29,1403,10
33,167,1640,437,1,30,1799,1,1,2903,7,4057,41
20,322,1119,564,5,40,146,2,1,1604,27,1414,31
5,559,451,162,1,25,1766,2,1,1217,29,1097,6
41,331,2507,105,1,25,1701,2,0,1303,18,3776,58
54,272,3034,158,1,26,1723,2,0,477,31,1989,22
33,152,1530,819,1,36,1211,1,1,1029,7,3631,30
53,87,2957,148,5,26,1365,2,0,1661,25,1215,23
3,59,196,561,1,31,1698,2,0,1483,3,1489,16
36,363,1762,177,1,23,2039,2,0,1812,1,1551,15
54,274,3159,391,1,36,1431,2,1,2386,43,1290,1
3,60,207,77,1,18,1870,2,1,2419,18,1547,6
5,474,418,421,1,29,1896,1,0,663,35,26,38
16,243,888,499,5,39,275,2,1,2104,31,4182,40
9,459,735,275,5,38,226,2,1,1246,41,1314,5
38,200,2003,583,5,39,337,2,1,2335,30,1618,7
5,468,327,490,1,34,1157,2,0,2,7,3786,46
5,470,340,639,1,37,805,1,0,1887,29,1588,6
3,56,100,210,1,27,1727,2,1,2211,30,1916,16
16,243,904,126,1,35,1685,2,1,920,41,1226,1
53,86,2942,161,5,27,865,2,1,1229,7,4842,60
33,158,1577,59,1,22,62,1,0,1480,13,2601,29
15,39,789,283,5,34,822,2,0,1489,40,297,6
5,468,318,278,1,28,1717,2,0,1869,44,1285,44
54,272,3082,165,5,21,1852,2,0,1870,41,1661,59
39,444,2341,767,1,40,1,2,1,2518,48,2193,12
26,497,1304,584,5,40,0,2,1,2340,36,3110,48
26,492,1299,588,1,37,1483,2,1,1750,38,2991,23
8,111,605,261,1,35,1435,2,0,1689,43,3557,30
54,272,3152,887,5,40,24,1,1,2439,32,4710,53
8,99,663,309,1,31,1722,2,1,2473,44,1810,20
32,126,1421,544,5,35,904,2,1,2123,29,4418,63
5,475,430,989,5,31,1249,1,0,91,0,383,14
41,175,2437,454,1,39,403,2,1,2590,29,948,11
41,234,2441,671,5,36,475,1,1,1075,7,2472,21
5,468,328,193,1,28,1843,1,1,2569,33,1151,22
33,156,1566,96,1,24,2056,1,0,777,38,2560,59
41,175,2407,423,3,39,305,2,1,836,10,4088,44
54,272,3068,53,1,20,2042,2,0,1311,31,309,12
33,158,1595,452,1,31,1770,1,1,2130,7,1007,0
26,567,1309,673,5,40,5,2,1,2240,50,1012,2
26,585,1317,278,5,33,1051,2,1,2561,7,2210,33
33,158,1597,196,1,25,1985,2,0,566,46,389,24
54,131,3048,454,1,36,1041,2,1,1715,6,1400,16
16,247,931,352,1,36,1120,2,1,1145,45,4961,63
54,341,3181,62,1,22,1904,2,1,1097,0,308,33
53,333,2997,485,1,23,2001,2,1,1044,7,4704,52
38,78,1893,421,7,33,1638,1,0,1682,29,555,30
5,472,361,615,1,36,1440,1,1,1978,38,4289,56
33,156,1567,352,1,28,1717,1,0,1687,7,111,3
33,161,1619,791,1,37,959,2,1,2147,21,2995,58
16,247,919,375,5,37,911,2,1,2100,44,2096,12
37,417,1862,701,1,39,397,2,1,2057,46,2468,22
37,417,1863,740,1,41,0,2,1,2783,29,4296,42
54,305,3177,278,1,35,1849,2,0,731,44,1534,4
54,519,3356,688,5,39,346,2,1,2237,44,4458,50
26,345,1261,42,5,25,1384,1,1,2767,17,3336,32
41,530,2615,65,5,28,1600,2,0,710,25,3580,56
38,191,1960,425,5,40,4,2,1,2222,39,2456,25
54,272,3132,649,1,35,1425,2,1,2554,38,2579,21
16,243,887,355,5,36,552,2,1,2460,40,3377,49
54,273,3147,253,1,29,1350,2,0,142,4,1180,4
38,354,2043,40,1,25,1895,2,0,1682,7,806,4
41,370,2546,485,5,39,226,1,1,1544,31,3114,24
30,328,1384,837,5,27,1642,1,0,524,29,1574,32
26,585,1321,312,5,37,991,2,0,1630,2,984,7
5,468,322,424,1,35,1040,2,1,2466,35,3072,23
15,223,811,234,1,31,1753,2,0,289,44,4773,56
8,112,631,411,1,36,1203,1,1,1390,29,1114,13
39,21,2181,616,1,38,1600,1,1,1235,23,3410,32
3,9,43,355,5,8,1602,2,0,569,41,4025,42
39,11,2119,58,5,20,1632,2,0,1619,30,1692,28
33,150,1485,518,1,36,1589,2,1,2457,1,2166,16
39,13,2093,155,5,29,1016,2,0,392,29,396,54
41,370,2528,40,1,25,1777,2,0,742,7,2469,39
1,270,25,609,1,37,1188,2,1,1067,12,3891,41
38,83,1945,158,1,28,1784,2,0,477,16,562,34
37,401,1833,51,1,23,1862,2,0,186,40,2945,31
5,558,446,944,1,39,371,1,1,1365,7,4150,44
41,175,2406,274,1,35,1088,2,1,1533,29,3771,42
33,120,1470,985,5,40,359,1,1,2886,29,1909,4
5,470,340,524,1,36,1038,2,1,2706,5,4558,54
